League_Name,Team_Away,GP,Avg,0.5+,1.5+,2.5+,3.5+,4.5+,5.5+,BTS,CS,FTS,WTN,LTN
Brazil - Serie D,Cascavel,7.0,1.29,71%,43%,14%,0%,0%,0%,29%,43%,57%,14%,29%
Brazil - Serie D,Joinville,7.0,1.29,86%,29%,14%,0%,0%,0%,29%,29%,57%,14%,43%
Brazil - Serie D,Central SC,7.0,1.14,57%,43%,14%,0%,0%,0%,14%,86%,43%,43%,0%
Brazil - Serie D,Guarany de Bage,7.0,1.14,71%,29%,14%,0%,0%,0%,14%,43%,71%,14%,43%
Bulgaria - Parva Liga,Montana,1.0,5.0,100%,100%,100%,100%,100%,0%,0%,0%,100%,0%,100%
Bulgaria - Parva Liga,Septemvri Sofia,1.0,5.0,100%,100%,100%,100%,100%,0%,0%,0%,100%,0%,100%
Bulgaria - Parva Liga,Botev Vratsa,1.0,4.0,100%,100%,100%,100%,0%,0%,100%,0%,0%,0%,0%
Bulgaria - Parva Liga,Botev Plovdiv,1.0,3.0,100%,100%,100%,0%,0%,0%,100%,0%,0%,0%,0%
Bulgaria - Parva Liga,Levski Sofia,1.0,3.0,100%,100%,100%,0%,0%,0%,100%,0%,0%,0%,0%
Bulgaria - Parva Liga,Slavia Sofia,1.0,3.0,100%,100%,100%,0%,0%,0%,100%,0%,0%,0%,0%
Bulgaria - Parva Liga,Cherno More,1.0,2.0,100%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Bulgaria - Parva Liga,CSKA 1948 Sofia,1.0,2.0,100%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Bulgaria - Parva Liga,CSKA Sofia,1.0,2.0,100%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Bulgaria - Parva Liga,Lok. Plovdiv,1.0,2.0,100%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Bulgaria - Parva Liga,Lokomotiv Sofia,1.0,2.0,100%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Bulgaria - Parva Liga,Spartak Varna,1.0,2.0,100%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Bulgaria - Parva Liga,Arda,1.0,1.0,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,100%
Bulgaria - Parva Liga,Dobrudzha,1.0,1.0,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,100%
Bulgaria - Parva Liga,Ludogorets,1.0,1.0,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%
Bulgaria - Parva Liga,Beroe,1.0,0.0,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%
Canada - Premier League,Valour,8.0,3.88,100%,100%,75%,62%,25%,12%,62%,0%,38%,0%,38%
Canada - Premier League,Vancouver FC,8.0,3.38,100%,75%,62%,50%,12%,12%,62%,0%,38%,0%,38%
Canada - Premier League,York Utd,8.0,3.13,100%,88%,75%,38%,12%,0%,75%,25%,0%,25%,0%
Canada - Premier League,HFX Wanderers,8.0,2.75,100%,88%,50%,25%,12%,0%,50%,25%,25%,25%,25%
Canada - Premier League,A. Ottawa,9.0,2.67,89%,78%,44%,44%,11%,0%,44%,44%,22%,33%,11%
Canada - Premier League,Pacific,6.0,2.67,83%,83%,50%,50%,0%,0%,50%,17%,50%,0%,33%
Canada - Premier League,Forge,8.0,2.38,88%,75%,38%,25%,12%,0%,38%,62%,12%,50%,0%
Canada - Premier League,Cavalry,8.0,2.13,88%,75%,50%,0%,0%,0%,62%,25%,25%,12%,12%
Chile - Liga de Primera,D. Iquique,9.0,3.33,100%,89%,67%,44%,22%,11%,78%,0%,22%,0%,22%
Chile - Liga de Primera,Everton,7.0,3.29,100%,100%,71%,29%,14%,14%,43%,14%,43%,14%,43%
Chile - Liga de Primera,La Serena,9.0,3.22,100%,100%,78%,44%,0%,0%,89%,0%,11%,0%,11%
Chile - Liga de Primera,Huachipato,9.0,3.11,78%,56%,56%,44%,44%,22%,44%,22%,56%,0%,33%
Chile - Liga de Primera,D. Limache,8.0,2.88,88%,88%,62%,50%,0%,0%,88%,12%,12%,0%,0%
Chile - Liga de Primera,U. de Chile,9.0,2.78,100%,89%,44%,33%,11%,0%,44%,22%,33%,22%,33%
Chile - Liga de Primera,Nublense,8.0,2.63,100%,75%,50%,25%,12%,0%,38%,25%,38%,25%,38%
Chile - Liga de Primera,Union Espanola,8.0,2.63,100%,62%,50%,38%,12%,0%,25%,12%,62%,12%,62%
Chile - Liga de Primera,Colo-Colo,9.0,2.56,100%,78%,56%,22%,0%,0%,67%,11%,22%,11%,22%
Chile - Liga de Primera,Cobresal,8.0,2.5,100%,75%,50%,25%,0%,0%,50%,38%,12%,38%,12%
Chile - Liga de Primera,Audax Italiano,8.0,2.38,100%,62%,38%,25%,12%,0%,50%,25%,25%,25%,25%
Chile - Liga de Primera,Palestino,8.0,2.25,88%,62%,50%,25%,0%,0%,50%,38%,25%,25%,12%
Chile - Liga de Primera,Coquimbo Unido,9.0,2.22,78%,67%,44%,11%,11%,11%,22%,67%,33%,44%,11%
Chile - Liga de Primera,OHiggins,9.0,2.11,89%,44%,33%,22%,11%,11%,22%,44%,44%,33%,33%
Chile - Liga de Primera,U. Catolica,9.0,1.89,100%,78%,11%,0%,0%,0%,67%,0%,33%,0%,33%
Chile - Liga de Primera,Union La Calera,8.0,1.63,100%,38%,12%,12%,0%,0%,38%,25%,38%,25%,38%
Chile - Liga de Ascenso,CD Santa Cruz,8.0,3.13,100%,88%,62%,38%,25%,0%,75%,0%,25%,0%,25%
Chile - Liga de Ascenso,San Marcos,9.0,3.11,100%,67%,56%,33%,22%,11%,56%,22%,22%,22%,22%
Chile - Liga de Ascenso,Concepcion,11.0,3.0,91%,91%,73%,27%,18%,0%,64%,27%,18%,18%,9%
Chile - Liga de Ascenso,U. San Felipe,8.0,3.0,100%,100%,75%,25%,0%,0%,88%,0%,12%,0%,12%
Chile - Liga de Ascenso,Deportes Temuco,9.0,2.78,89%,78%,67%,33%,11%,0%,56%,11%,44%,0%,33%
Chile - Liga de Ascenso,S. Wanderers,9.0,2.78,78%,67%,67%,33%,22%,11%,44%,44%,33%,22%,11%
Chile - Liga de Ascenso,San Luis,10.0,2.7,100%,70%,70%,30%,0%,0%,60%,20%,20%,20%,20%
Chile - Liga de Ascenso,S. Morning,9.0,2.56,89%,56%,44%,33%,22%,11%,44%,44%,22%,33%,11%
Chile - Liga de Ascenso,Magallanes,9.0,2.44,89%,78%,44%,22%,11%,0%,33%,11%,67%,0%,56%
Chile - Liga de Ascenso,Cobreloa,9.0,2.33,100%,78%,22%,11%,11%,11%,56%,22%,22%,22%,22%
Chile - Liga de Ascenso,Antofagasta,9.0,2.22,78%,56%,44%,22%,11%,11%,33%,33%,56%,11%,33%
Chile - Liga de Ascenso,Rangers,9.0,2.11,89%,78%,44%,0%,0%,0%,44%,44%,22%,33%,11%
Chile - Liga de Ascenso,Curico Unido,8.0,1.88,75%,50%,38%,12%,12%,0%,50%,38%,38%,12%,12%
Chile - Liga de Ascenso,Recoleta,9.0,1.78,78%,67%,33%,0%,0%,0%,44%,33%,44%,11%,22%
Chile - Liga de Ascenso,U. Concepcion,8.0,1.63,75%,50%,38%,0%,0%,0%,38%,38%,50%,12%,25%
Chile - Liga de Ascenso,Copiapo,10.0,1.1,90%,20%,0%,0%,0%,0%,10%,50%,50%,40%,40%
China - Super League,Shanghai Port,8.0,4.13,100%,100%,88%,75%,38%,12%,88%,12%,0%,12%,0%
China - Super League,Shandong T.,9.0,4.11,100%,89%,67%,56%,44%,33%,78%,0%,22%,0%,22%
China - Super League,Beijing Guoan,9.0,3.44,100%,100%,56%,44%,11%,11%,56%,33%,11%,33%,11%
China - Super League,Changchun Yatai,8.0,3.38,100%,100%,75%,38%,12%,12%,62%,0%,38%,0%,38%
China - Super League,Chengdu,9.0,3.22,100%,89%,78%,44%,11%,0%,67%,33%,0%,33%,0%
China - Super League,Shenzhen P. C.,9.0,3.11,89%,78%,78%,56%,11%,0%,33%,22%,56%,11%,44%
China - Super League,Zhejiang,9.0,3.11,100%,89%,56%,33%,22%,11%,44%,22%,33%,22%,33%
China - Super League,Tianjin T.,10.0,3.1,100%,90%,70%,20%,10%,10%,70%,0%,30%,0%,30%
China - Super League,Yunnan Yukun,10.0,3.0,80%,70%,60%,50%,20%,10%,70%,30%,20%,10%,0%
China - Super League,Qingdao West C.,9.0,2.89,100%,78%,56%,44%,11%,0%,67%,0%,33%,0%,33%
China - Super League,S. Shenhua,9.0,2.89,100%,78%,67%,44%,0%,0%,67%,22%,11%,22%,11%
China - Super League,Wuhan Three T.,9.0,2.89,100%,89%,56%,33%,11%,0%,67%,0%,33%,0%,33%
China - Super League,Meizhou Hakka,9.0,2.78,100%,89%,56%,33%,0%,0%,67%,0%,33%,0%,33%
China - Super League,Dalian Yingbo,9.0,2.67,100%,100%,33%,22%,11%,0%,56%,11%,33%,11%,33%
China - Super League,Qingdao Hainiu,9.0,2.67,100%,67%,44%,44%,11%,0%,44%,0%,56%,0%,56%
China - Super League,Henan SL,9.0,2.44,89%,56%,56%,33%,11%,0%,56%,22%,33%,11%,22%
China - League One,Chongqing T.,8.0,4.38,100%,88%,75%,62%,50%,50%,75%,25%,0%,25%,0%
China - League One,Shenzhen J.,10.0,3.3,90%,80%,70%,30%,30%,10%,60%,20%,30%,10%,20%
China - League One,Liaoning Tieren,9.0,3.0,100%,89%,56%,33%,11%,11%,56%,44%,0%,44%,0%
China - League One,Nanjing City,9.0,2.89,100%,78%,44%,33%,11%,11%,67%,22%,11%,22%,11%
China - League One,Dalian Kuncheng,8.0,2.88,88%,88%,75%,25%,12%,0%,75%,12%,25%,0%,12%
China - League One,Guangdong GZP,8.0,2.88,100%,88%,50%,25%,12%,12%,62%,25%,12%,25%,12%
China - League One,S. Gongfu,8.0,2.88,100%,75%,50%,50%,12%,0%,38%,38%,25%,38%,25%
China - League One,Suzhou Dongwu,10.0,2.4,80%,70%,50%,30%,10%,0%,60%,40%,20%,20%,0%
China - League One,Foshan Nanshi,9.0,2.33,100%,67%,44%,22%,0%,0%,44%,22%,33%,22%,33%
China - League One,Shaanxi Union,9.0,2.33,78%,78%,44%,11%,11%,11%,56%,22%,44%,0%,22%
China - League One,Yanbian Longdin,8.0,2.25,88%,75%,38%,25%,0%,0%,50%,12%,50%,0%,38%
China - League One,Dingnan,8.0,2.13,88%,75%,38%,12%,0%,0%,62%,25%,25%,12%,12%
China - League One,Nantong Zhiyun,9.0,2.11,89%,56%,33%,22%,11%,0%,44%,33%,33%,22%,22%
China - League One,Guangxi Pingguo,9.0,2.0,78%,56%,44%,22%,0%,0%,44%,22%,56%,0%,33%
China - League One,Shanghai Jiadin,9.0,2.0,89%,67%,33%,11%,0%,0%,22%,22%,67%,11%,56%
China - League One,Qingdao RL,10.0,1.6,90%,60%,10%,0%,0%,0%,30%,20%,60%,10%,50%
China - League Two,G. Zhucheng,10.0,3.2,100%,90%,70%,30%,20%,10%,60%,20%,20%,20%,20%
China - League Two,Hubei Istar,10.0,3.0,90%,80%,50%,40%,20%,20%,40%,20%,50%,10%,40%
China - League Two,Kunming City,11.0,2.64,91%,82%,45%,18%,9%,9%,45%,18%,45%,9%,36%
China - League Two,Shanxi Ronghai,11.0,2.64,91%,73%,27%,27%,27%,9%,27%,18%,64%,9%,55%
China - League Two,C. Rongcheng B,10.0,2.6,100%,70%,50%,30%,10%,0%,50%,40%,10%,40%,10%
China - League Two,Guangxi H.,10.0,2.5,90%,80%,40%,30%,10%,0%,30%,70%,10%,60%,0%
China - League Two,Hangzhou Linpin,10.0,2.5,90%,80%,50%,20%,10%,0%,70%,10%,30%,0%,20%
China - League Two,L. Longyuan,11.0,2.45,82%,82%,45%,27%,9%,0%,45%,18%,55%,0%,36%
China - League Two,Wuxi Wugou,11.0,2.45,100%,82%,45%,9%,9%,0%,55%,18%,27%,18%,27%
China - League Two,Beijing IT,10.0,2.4,100%,70%,60%,10%,0%,0%,50%,10%,40%,10%,40%
China - League Two,Nantong Haimen,10.0,2.4,90%,60%,30%,30%,20%,10%,40%,40%,30%,30%,20%
China - League Two,Guangxi Lanhang,11.0,2.36,91%,73%,45%,18%,9%,0%,55%,9%,45%,0%,36%
China - League Two,Shandong T. B,10.0,2.3,90%,70%,20%,10%,10%,10%,40%,40%,30%,30%,20%
China - League Two,Wuhan TT B,11.0,2.27,91%,64%,45%,18%,9%,0%,55%,27%,27%,18%,18%
China - League Two,Ganzhou Ruishi,10.0,2.2,80%,80%,30%,20%,10%,0%,40%,20%,60%,0%,40%
China - League Two,Taian Tiankuang,11.0,2.18,82%,55%,45%,27%,9%,0%,45%,27%,45%,9%,27%
China - League Two,Jiangxi Lushan,11.0,2.0,100%,64%,18%,9%,9%,0%,27%,55%,18%,55%,18%
China - League Two,Quanzhou Yassin,10.0,2.0,100%,70%,30%,0%,0%,0%,40%,10%,50%,10%,50%
China - League Two,G. Dandelion,11.0,1.91,91%,55%,36%,9%,0%,0%,45%,36%,27%,27%,18%
China - League Two,Shenzhen 2028,11.0,1.82,100%,55%,18%,9%,0%,0%,27%,64%,9%,64%,9%
China - League Two,Shanghai Port B,10.0,1.7,90%,70%,10%,0%,0%,0%,50%,20%,40%,10%,30%
China - League Two,Wenzhou Pro.,10.0,1.7,80%,40%,40%,10%,0%,0%,20%,40%,60%,20%,40%
China - League Two,Guangdong M.,10.0,1.6,70%,60%,20%,10%,0%,0%,30%,30%,70%,0%,40%
China - League Two,Changchun Xidu,11.0,1.36,55%,27%,27%,18%,9%,0%,27%,64%,55%,18%,9%
Colombia - Primera A - Apertura,Millonarios,10.0,2.9,90%,80%,60%,50%,10%,0%,60%,40%,10%,30%,0%
Colombia - Primera A - Apertura,D. Pereira,10.0,2.8,90%,80%,60%,30%,10%,10%,50%,20%,40%,10%,30%
Colombia - Primera A - Apertura,Deportes Tolima,10.0,2.7,80%,70%,40%,40%,20%,10%,60%,30%,30%,10%,10%
Colombia - Primera A - Apertura,Llaneros,10.0,2.7,100%,60%,60%,20%,10%,10%,50%,0%,50%,0%,50%
Colombia - Primera A - Apertura,Santa Fe,10.0,2.7,90%,60%,30%,20%,20%,20%,30%,50%,30%,40%,20%
Colombia - Primera A - Apertura,La Equidad,10.0,2.6,90%,80%,70%,20%,0%,0%,50%,10%,50%,0%,40%
Colombia - Primera A - Apertura,Boyaca Chico,10.0,2.5,80%,70%,50%,20%,20%,10%,40%,30%,50%,10%,30%
Colombia - Primera A - Apertura,A. Nacional,10.0,2.4,80%,60%,40%,30%,20%,10%,50%,30%,40%,10%,20%
Colombia - Primera A - Apertura,A. Bucaramanga,10.0,2.3,90%,70%,50%,10%,10%,0%,70%,20%,20%,10%,10%
Colombia - Primera A - Apertura,Once Caldas,10.0,2.2,90%,80%,40%,10%,0%,0%,30%,30%,50%,20%,40%
Colombia - Primera A - Apertura,Union Magdalena,10.0,2.2,100%,70%,40%,10%,0%,0%,60%,10%,30%,10%,30%
Colombia - Primera A - Apertura,Junior,10.0,2.1,80%,50%,30%,20%,20%,10%,40%,50%,30%,30%,10%
Colombia - Primera A - Apertura,A. Petrolera,10.0,2.0,80%,70%,40%,10%,0%,0%,30%,40%,50%,20%,30%
Colombia - Primera A - Apertura,Fortaleza CEIF,10.0,2.0,90%,70%,30%,10%,0%,0%,30%,20%,60%,10%,50%
Colombia - Primera A - Apertura,Envigado,10.0,1.8,90%,40%,30%,10%,10%,0%,30%,10%,70%,0%,60%
Colombia - Primera A - Apertura,America de Cali,10.0,1.7,80%,60%,20%,10%,0%,0%,20%,50%,50%,30%,30%
Colombia - Primera A - Apertura,Deportivo Pasto,10.0,1.6,90%,50%,20%,0%,0%,0%,30%,20%,60%,10%,50%
Colombia - Primera A - Apertura,R. Aguilas,10.0,1.6,70%,50%,30%,10%,0%,0%,40%,40%,50%,10%,20%
Colombia - Primera A - Apertura,Deportivo Cali,10.0,1.5,80%,50%,10%,10%,0%,0%,20%,30%,70%,10%,50%
Colombia - Primera A - Apertura,I. Medelin,10.0,1.4,80%,50%,10%,0%,0%,0%,30%,40%,50%,20%,30%
Colombia - Primera B - Apertura,Atletico Cali,8.0,3.13,88%,62%,62%,38%,25%,25%,62%,12%,38%,0%,25%
Colombia - Primera B - Apertura,Bogota,8.0,3.13,100%,100%,75%,25%,12%,0%,50%,0%,50%,0%,50%
Colombia - Primera B - Apertura,D. Quindio,8.0,2.88,100%,88%,38%,38%,25%,0%,50%,12%,38%,12%,38%
Colombia - Primera B - Apertura,Barranquilla,8.0,2.75,100%,88%,62%,12%,12%,0%,38%,0%,62%,0%,62%
Colombia - Primera B - Apertura,Jaguares de C.,8.0,2.75,100%,62%,50%,50%,12%,0%,50%,38%,12%,38%,12%
Colombia - Primera B - Apertura,R. Cundinamarca,8.0,2.75,88%,62%,38%,38%,25%,12%,62%,38%,12%,25%,0%
Colombia - Primera B - Apertura,Leones,8.0,2.63,88%,75%,38%,38%,25%,0%,50%,12%,50%,0%,38%
Colombia - Primera B - Apertura,Real Cartagena,8.0,2.5,88%,88%,62%,12%,0%,0%,62%,12%,38%,0%,25%
Colombia - Primera B - Apertura,Real Santander,8.0,2.5,88%,75%,50%,12%,12%,12%,50%,25%,38%,12%,25%
Colombia - Primera B - Apertura,Inter Palmira,8.0,2.38,100%,88%,50%,0%,0%,0%,38%,25%,38%,25%,38%
Colombia - Primera B - Apertura,Cucuta,8.0,2.25,100%,75%,38%,12%,0%,0%,38%,50%,12%,50%,12%
Colombia - Primera B - Apertura,Atletico Huila,8.0,2.13,88%,62%,38%,12%,12%,0%,50%,25%,38%,12%,25%
Colombia - Primera B - Apertura,Tigres,8.0,2.0,100%,75%,25%,0%,0%,0%,50%,0%,50%,0%,50%
Colombia - Primera B - Apertura,Patriotas,8.0,1.75,88%,50%,25%,12%,0%,0%,38%,38%,38%,25%,25%
Colombia - Primera B - Apertura,Boca Juniors,8.0,1.63,88%,38%,12%,12%,12%,0%,25%,12%,75%,0%,62%
Colombia - Primera B - Apertura,Orsomarso,8.0,1.38,62%,50%,12%,12%,0%,0%,50%,50%,38%,12%,0%
Costa Rica - Primera Div. - Apertura,Alajuelense,1.0,3.0,100%,100%,100%,0%,0%,0%,100%,0%,0%,0%,0%
Costa Rica - Primera Div. - Apertura,San Carlos,1.0,3.0,100%,100%,100%,0%,0%,0%,100%,0%,0%,0%,0%
Costa Rica - Primera Div. - Apertura,Cartagines,1.0,1.0,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,100%
Costa Rica - Primera Div. - Apertura,Saprissa,1.0,1.0,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%
Costa Rica - Primera Div. - Apertura,Herediano,1.0,0.0,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%
Costa Rica - Primera Div. - Clausura,Santa Ana,11.0,3.36,91%,82%,73%,36%,18%,9%,55%,9%,45%,0%,36%
Costa Rica - Primera Div. - Clausura,Santos Guapiles,11.0,2.82,100%,73%,64%,18%,18%,9%,36%,27%,36%,27%,36%
Costa Rica - Primera Div. - Clausura,Saprissa,11.0,2.64,100%,82%,55%,18%,9%,0%,55%,27%,18%,27%,18%
Costa Rica - Primera Div. - Clausura,Guanacasteca,11.0,2.45,91%,73%,55%,18%,9%,0%,45%,9%,55%,0%,45%
Costa Rica - Primera Div. - Clausura,M. Liberia,11.0,2.45,100%,64%,36%,18%,18%,9%,45%,18%,36%,18%,36%
Costa Rica - Primera Div. - Clausura,Sporting SJ,11.0,2.27,91%,73%,45%,9%,9%,0%,45%,27%,36%,18%,27%
Costa Rica - Primera Div. - Clausura,Herediano,11.0,2.09,100%,64%,27%,18%,0%,0%,55%,36%,9%,36%,9%
Costa Rica - Primera Div. - Clausura,Alajuelense,11.0,1.91,82%,73%,27%,9%,0%,0%,64%,36%,18%,18%,0%
Costa Rica - Primera Div. - Clausura,San Carlos,11.0,1.91,91%,55%,36%,9%,0%,0%,36%,27%,45%,18%,36%
Costa Rica - Primera Div. - Clausura,Puntarenas,11.0,1.82,82%,55%,18%,9%,9%,9%,55%,36%,27%,18%,9%
Costa Rica - Primera Div. - Clausura,Zeledon,11.0,1.73,64%,55%,45%,9%,0%,0%,27%,55%,55%,18%,18%
Costa Rica - Primera Div. - Clausura,Cartagines,11.0,1.55,100%,45%,9%,0%,0%,0%,45%,27%,27%,27%,27%
Cyprus - Division 1,Omonia Nicosia,18.0,3.5,100%,83%,56%,44%,28%,17%,61%,22%,17%,22%,17%
Cyprus - Division 1,Achnas,16.0,3.44,88%,88%,75%,44%,19%,19%,69%,19%,25%,6%,12%
Cyprus - Division 1,Aris,18.0,2.89,94%,94%,72%,22%,6%,0%,61%,28%,17%,22%,11%
Cyprus - Division 1,AEL Limassol,17.0,2.88,88%,82%,65%,41%,6%,6%,35%,24%,53%,12%,41%
Cyprus - Division 1,Nea Salamis,17.0,2.71,94%,82%,53%,35%,6%,0%,53%,18%,35%,12%,29%
Cyprus - Division 1,Karmiotissa,16.0,2.63,94%,81%,62%,19%,6%,0%,44%,12%,50%,6%,44%
Cyprus - Division 1,O. Aradippou,16.0,2.63,94%,62%,50%,31%,12%,6%,31%,12%,62%,6%,56%
Cyprus - Division 1,APOEL Nicosia,18.0,2.56,83%,72%,67%,28%,6%,0%,44%,39%,33%,22%,17%
Cyprus - Division 1,Omonia 29th May,17.0,2.53,100%,76%,35%,24%,12%,6%,47%,6%,47%,6%,47%
Cyprus - Division 1,Anorthosis,16.0,2.5,88%,69%,44%,38%,6%,6%,38%,38%,38%,25%,25%
Cyprus - Division 1,Enosis P.,17.0,2.41,100%,76%,35%,18%,12%,0%,35%,29%,35%,29%,35%
Cyprus - Division 1,Paphos,18.0,2.33,100%,83%,39%,11%,0%,0%,39%,50%,11%,50%,11%
Cyprus - Division 1,AEK Larnaca,18.0,2.28,94%,67%,33%,22%,6%,6%,50%,28%,28%,22%,22%
Cyprus - Division 1,Apollon,18.0,1.83,89%,50%,33%,11%,0%,0%,28%,33%,50%,22%,39%
CzechRepublic - 1. Liga,Slovan Liberec,1.0,6.0,100%,100%,100%,100%,100%,100%,100%,0%,0%,0%,0%
CzechRepublic - 1. Liga,Viktoria Plzen,1.0,6.0,100%,100%,100%,100%,100%,100%,100%,0%,0%,0%,0%
CzechRepublic - 1. Liga,Mlada Boleslav,1.0,5.0,100%,100%,100%,100%,100%,0%,100%,0%,0%,0%,0%
CzechRepublic - 1. Liga,Hradec Kralove,1.0,4.0,100%,100%,100%,100%,0%,0%,100%,0%,0%,0%,0%
CzechRepublic - 1. Liga,Zlin,1.0,4.0,100%,100%,100%,100%,0%,0%,100%,0%,0%,0%,0%
CzechRepublic - 1. Liga,Karvina,1.0,3.0,100%,100%,100%,0%,0%,0%,100%,0%,0%,0%,0%
CzechRepublic - 1. Liga,Pardubice,1.0,3.0,100%,100%,100%,0%,0%,0%,100%,0%,0%,0%,0%
CzechRepublic - 1. Liga,Jablonec,1.0,2.0,100%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%
CzechRepublic - 1. Liga,Slavia Prague,1.0,2.0,100%,100%,0%,0%,0%,0%,0%,100%,0%,100%,0%
CzechRepublic - 1. Liga,Slovacko,1.0,2.0,100%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%
CzechRepublic - 1. Liga,Sparta Prague,1.0,2.0,100%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%
CzechRepublic - 1. Liga,Banik Ostrava,1.0,1.0,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,100%
CzechRepublic - 1. Liga,Dukla Praha,2.0,1.0,50%,50%,0%,0%,0%,0%,0%,50%,100%,0%,50%
CzechRepublic - 1. Liga,Sigma Olomouc,1.0,1.0,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%
CzechRepublic - FNL,Zbrojovka Brno,2.0,5.5,100%,100%,50%,50%,50%,50%,50%,50%,0%,50%,0%
CzechRepublic - FNL,Usti nad Labem,1.0,5.0,100%,100%,100%,100%,100%,0%,100%,0%,0%,0%,0%
CzechRepublic - FNL,Vlasim,2.0,4.5,100%,100%,100%,100%,50%,0%,100%,0%,0%,0%,0%
CzechRepublic - FNL,Chrudim,1.0,4.0,100%,100%,100%,100%,0%,0%,100%,0%,0%,0%,0%
CzechRepublic - FNL,Vikto Zizkov,2.0,4.0,100%,100%,100%,50%,50%,0%,100%,0%,0%,0%,0%
CzechRepublic - FNL,Artis Brno,1.0,3.0,100%,100%,100%,0%,0%,0%,100%,0%,0%,0%,0%
CzechRepublic - FNL,C. Budejovice,1.0,3.0,100%,100%,100%,0%,0%,0%,0%,0%,100%,0%,100%
CzechRepublic - FNL,Jihlava,2.0,3.0,100%,100%,100%,0%,0%,0%,50%,50%,0%,50%,0%
CzechRepublic - FNL,Sparta Prague B,1.0,3.0,100%,100%,100%,0%,0%,0%,0%,0%,100%,0%,100%
CzechRepublic - FNL,Banik Ostrava B,2.0,2.5,100%,50%,50%,50%,0%,0%,50%,50%,0%,50%,0%
CzechRepublic - FNL,Pribram,1.0,2.0,100%,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%
CzechRepublic - FNL,Taborsko,1.0,2.0,100%,100%,0%,0%,0%,0%,0%,100%,0%,100%,0%
CzechRepublic - FNL,Prostejov,1.0,1.0,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,100%
CzechRepublic - FNL,Slavia Prague B,2.0,1.0,100%,0%,0%,0%,0%,0%,0%,50%,50%,50%,50%
CzechRepublic - FNL,Opava,2.0,0.5,50%,0%,0%,0%,0%,0%,0%,100%,50%,50%,0%
Denmark - Superligaen,SonderjyskE,1.0,8.0,100%,100%,100%,100%,100%,100%,100%,0%,0%,0%,0%
Denmark - Superligaen,Odense BK,1.0,6.0,100%,100%,100%,100%,100%,100%,100%,0%,0%,0%,0%
Denmark - Superligaen,FC Kobenhavn,1.0,5.0,100%,100%,100%,100%,100%,0%,100%,0%,0%,0%,0%
Denmark - Superligaen,Nordsjaelland,1.0,5.0,100%,100%,100%,100%,100%,0%,100%,0%,0%,0%,0%
Denmark - Superligaen,Viborg,1.0,4.0,100%,100%,100%,100%,0%,0%,100%,0%,0%,0%,0%
Denmark - Superligaen,Silkeborg,1.0,3.0,100%,100%,100%,0%,0%,0%,0%,0%,100%,0%,100%
Denmark - Superligaen,Randers FC,2.0,2.5,100%,100%,50%,0%,0%,0%,100%,0%,0%,0%,0%
Denmark - Superligaen,AGF Aarhus,1.0,2.0,100%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Denmark - Superligaen,Fredericia,1.0,2.0,100%,100%,0%,0%,0%,0%,0%,100%,0%,100%,0%
Denmark - Superligaen,Vejle BK,1.0,2.0,100%,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%
Denmark - Superligaen,Brondby IF,1.0,1.0,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%,0%
Denmark - 1st Division,Hvidovre,1.0,3.0,100%,100%,100%,0%,0%,0%,100%,0%,0%,0%,0%
Denmark - 1st Division,Kolding IF,1.0,3.0,100%,100%,100%,0%,0%,0%,100%,0%,0%,0%,0%
Denmark - 1st Division,Aalborg BK,2.0,2.5,100%,50%,50%,50%,0%,0%,50%,0%,50%,0%,50%
Denmark - 1st Division,B 93,2.0,2.0,100%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%
Denmark - 1st Division,Hobro,1.0,2.0,100%,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%
Denmark - 1st Division,Lyngby,1.0,2.0,100%,100%,0%,0%,0%,0%,0%,100%,0%,100%,0%
Denmark - 1st Division,Aarhus Fremad,2.0,1.5,50%,50%,50%,0%,0%,0%,50%,50%,50%,0%,0%
Denmark - 1st Division,Middelfart,2.0,1.5,50%,50%,50%,0%,0%,0%,50%,50%,50%,0%,0%
