League_Name,Team_Overall,GP,Avg,0.5+,1.5+,2.5+,3.5+,4.5+,5.5+,BTS,CS,FTS,WTN,LTN
France - Ligue 1,Paris SG,34.0,3.74,97%,88%,74%,56%,35%,18%,79%,21%,3%,18%,0%
France - Ligue 1,Marseille,34.0,3.56,100%,94%,68%,50%,29%,15%,68%,15%,18%,15%,18%
France - Ligue 1,Saint-Etienne,34.0,3.41,100%,85%,56%,47%,26%,18%,56%,15%,29%,15%,29%
France - Ligue 1,Brest,34.0,3.26,94%,85%,62%,44%,24%,15%,56%,29%,21%,24%,15%
France - Ligue 1,Le Havre,34.0,3.26,100%,88%,62%,38%,24%,12%,62%,12%,26%,12%,26%
France - Ligue 1,Lyon,34.0,3.26,94%,88%,65%,41%,26%,9%,62%,29%,15%,24%,9%
France - Ligue 1,Nice,34.0,3.15,97%,91%,59%,35%,18%,9%,68%,24%,12%,21%,9%
France - Ligue 1,Monaco,34.0,3.06,91%,85%,65%,32%,18%,9%,62%,32%,15%,24%,6%
France - Ligue 1,Montpellier,34.0,3.0,97%,79%,56%,38%,21%,9%,41%,3%,59%,0%,56%
France - Ligue 1,Rennes,34.0,2.97,100%,79%,59%,32%,21%,6%,47%,32%,21%,32%,21%
France - Ligue 1,Strasbourg,34.0,2.94,91%,76%,59%,38%,15%,12%,65%,29%,15%,21%,6%
France - Ligue 1,Auxerre,34.0,2.91,94%,82%,62%,44%,6%,3%,56%,29%,21%,24%,15%
France - Ligue 1,Nantes,34.0,2.68,94%,82%,44%,26%,12%,3%,65%,18%,24%,12%,18%
France - Ligue 1,Lille,34.0,2.59,94%,79%,50%,24%,9%,3%,59%,32%,15%,26%,9%
France - Ligue 1,Toulouse,34.0,2.56,91%,79%,50%,21%,12%,3%,56%,29%,24%,21%,15%
France - Ligue 1,Angers,34.0,2.5,100%,76%,32%,21%,12%,9%,38%,21%,41%,21%,41%
France - Ligue 1,Lens,34.0,2.38,94%,71%,35%,26%,6%,3%,38%,38%,29%,32%,24%
France - Ligue 1,Reims,34.0,2.35,88%,71%,44%,21%,6%,6%,47%,21%,44%,9%,32%
France - Ligue 2,Rodez Aveyron,34.0,3.24,100%,88%,62%,35%,21%,18%,71%,15%,15%,15%,15%
France - Ligue 2,Guingamp,34.0,3.0,100%,76%,65%,41%,12%,3%,53%,32%,15%,32%,15%
France - Ligue 2,Lorient,34.0,2.91,91%,74%,59%,35%,21%,12%,50%,38%,21%,29%,12%
France - Ligue 2,Metz,34.0,2.88,91%,76%,56%,35%,21%,9%,62%,29%,18%,21%,9%
France - Ligue 2,Pau FC,34.0,2.71,94%,74%,47%,38%,15%,3%,53%,26%,26%,21%,21%
France - Ligue 2,Caen,34.0,2.62,100%,68%,53%,29%,6%,6%,47%,12%,41%,12%,41%
France - Ligue 2,Amiens,34.0,2.59,97%,71%,53%,24%,12%,3%,47%,26%,29%,24%,26%
France - Ligue 2,Paris FC,34.0,2.59,91%,71%,47%,26%,18%,6%,47%,44%,18%,35%,9%
France - Ligue 2,Red Star,34.0,2.59,94%,74%,47%,29%,9%,3%,56%,24%,26%,18%,21%
France - Ligue 2,Grenoble,34.0,2.56,88%,76%,56%,26%,9%,0%,50%,26%,35%,15%,24%
France - Ligue 2,USL Dunkerque,34.0,2.56,97%,71%,38%,26%,18%,6%,47%,32%,24%,29%,21%
France - Ligue 2,Annecy,34.0,2.5,88%,65%,35%,29%,21%,12%,41%,47%,24%,35%,12%
France - Ligue 2,Martigues,34.0,2.5,100%,65%,44%,21%,12%,9%,32%,21%,47%,21%,47%
France - Ligue 2,Laval,34.0,2.41,94%,68%,44%,21%,9%,3%,47%,32%,26%,26%,21%
France - Ligue 2,SC Bastia,34.0,2.35,85%,68%,38%,29%,9%,3%,50%,35%,29%,21%,15%
France - Ligue 2,Clermont,34.0,2.24,94%,68%,32%,21%,9%,0%,50%,15%,41%,9%,35%
France - Ligue 2,AC Ajaccio,34.0,2.12,94%,68%,41%,9%,0%,0%,38%,24%,44%,18%,38%
France - Ligue 2,Troyes,34.0,2.06,88%,59%,47%,12%,0%,0%,24%,44%,44%,32%,32%
France - National,Chateauroux,32.0,3.19,97%,75%,53%,44%,19%,12%,56%,19%,28%,16%,25%
France - National,Concarneau,32.0,2.94,94%,81%,53%,25%,19%,16%,66%,19%,22%,12%,16%
France - National,Versailles,32.0,2.66,88%,69%,44%,34%,22%,9%,56%,25%,31%,12%,19%
France - National,Orleans,32.0,2.63,91%,75%,47%,28%,16%,6%,56%,25%,28%,16%,19%
France - National,Le Mans,32.0,2.56,91%,69%,50%,28%,12%,3%,44%,41%,25%,31%,16%
France - National,Nancy,32.0,2.56,97%,69%,41%,25%,16%,6%,41%,47%,16%,44%,12%
France - National,Rouen,32.0,2.53,88%,69%,50%,31%,6%,6%,59%,25%,28%,12%,16%
France - National,Aubagne,32.0,2.5,97%,62%,38%,12%,12%,12%,44%,28%,31%,25%,28%
France - National,Boulogne,32.0,2.5,97%,78%,41%,22%,12%,0%,59%,31%,12%,28%,9%
France - National,Valenciennes,32.0,2.31,84%,69%,38%,19%,12%,6%,50%,38%,28%,22%,12%
France - National,Dijon,32.0,2.25,81%,59%,44%,22%,12%,6%,38%,41%,41%,22%,22%
France - National,Quevilly Rouen,32.0,2.25,91%,59%,34%,16%,12%,9%,44%,34%,31%,25%,22%
France - National,Paris 13 A.,32.0,2.19,91%,62%,31%,22%,9%,3%,53%,22%,34%,12%,25%
France - National,Villefranche,32.0,2.06,91%,66%,28%,16%,3%,3%,47%,22%,41%,12%,31%
France - National,Nimes,32.0,2.03,81%,59%,38%,16%,6%,3%,38%,38%,44%,19%,25%
France - National,Sochaux,32.0,1.84,84%,53%,22%,12%,9%,3%,47%,31%,38%,16%,22%
France - National,Bourg-en-Bresse,32.0,1.69,84%,50%,31%,3%,0%,0%,41%,34%,41%,19%,25%
Georgia - Erovnuli Liga,Telavi,18.0,2.72,89%,67%,50%,28%,17%,11%,44%,22%,44%,11%,33%
Georgia - Erovnuli Liga,Dila Gori,18.0,2.67,94%,67%,50%,17%,17%,11%,50%,33%,22%,28%,17%
Georgia - Erovnuli Liga,Samgurali,18.0,2.67,89%,72%,50%,22%,11%,11%,44%,28%,39%,17%,28%
Georgia - Erovnuli Liga,Kolkheti Poti,18.0,2.39,94%,72%,44%,22%,6%,0%,39%,17%,50%,11%,44%
Georgia - Erovnuli Liga,Torpedo Kutaisi,18.0,2.22,100%,72%,39%,11%,0%,0%,50%,22%,28%,22%,28%
Georgia - Erovnuli Liga,Gagra,18.0,2.17,94%,78%,33%,11%,0%,0%,44%,33%,28%,28%,22%
Georgia - Erovnuli Liga,Iberia,18.0,2.17,89%,61%,39%,22%,6%,0%,44%,56%,11%,44%,0%
Georgia - Erovnuli Liga,Dinamo Batumi,18.0,2.11,94%,78%,28%,6%,6%,0%,44%,39%,22%,33%,17%
Georgia - Erovnuli Liga,Dinamo Tbilisi,18.0,2.11,89%,72%,44%,6%,0%,0%,50%,33%,28%,22%,17%
Georgia - Erovnuli Liga,Gareji Sagarejo,18.0,2.0,89%,61%,33%,11%,6%,0%,56%,22%,33%,11%,22%
Germany - Bundesliga,Bayern Munich,34.0,3.85,97%,91%,76%,59%,38%,18%,53%,47%,3%,44%,0%
Germany - Bundesliga,Holstein Kiel,34.0,3.79,100%,94%,76%,56%,26%,18%,74%,6%,21%,6%,21%
Germany - Bundesliga,Dortmund,34.0,3.59,97%,94%,71%,50%,29%,18%,68%,21%,15%,18%,12%
Germany - Bundesliga,Stuttgart,34.0,3.44,97%,82%,71%,53%,21%,12%,65%,21%,18%,18%,15%
Germany - Bundesliga,Leverkusen,34.0,3.38,88%,82%,62%,53%,29%,15%,71%,26%,15%,15%,3%
Germany - Bundesliga,E. Frankfurt,34.0,3.35,97%,88%,65%,50%,18%,9%,65%,26%,12%,24%,9%
Germany - Bundesliga,Hoffenheim,34.0,3.35,94%,85%,59%,53%,24%,9%,68%,12%,26%,6%,21%
Germany - Bundesliga,Monchengladbach,34.0,3.29,97%,85%,62%,38%,26%,12%,65%,21%,18%,18%,15%
Germany - Bundesliga,Werder Bremen,34.0,3.26,91%,76%,65%,47%,29%,15%,53%,29%,26%,21%,18%
Germany - Bundesliga,Wolfsburg,34.0,3.24,94%,74%,59%,50%,26%,15%,68%,18%,21%,12%,15%
Germany - Bundesliga,Freiburg,34.0,3.0,88%,74%,68%,47%,21%,3%,56%,32%,24%,21%,12%
Germany - Bundesliga,Heidenheim,34.0,2.97,94%,76%,56%,38%,18%,12%,38%,26%,41%,21%,35%
Germany - Bundesliga,RB Leipzig,34.0,2.97,79%,71%,56%,44%,26%,18%,53%,41%,26%,21%,6%
Germany - Bundesliga,Bochum,34.0,2.94,97%,76%,47%,38%,18%,9%,47%,18%,38%,15%,35%
Germany - Bundesliga,FSV Mainz,34.0,2.88,94%,88%,53%,32%,12%,6%,56%,26%,24%,21%,18%
Germany - Bundesliga,FC Augsburg,34.0,2.53,85%,74%,53%,32%,6%,3%,47%,32%,35%,18%,21%
Germany - Bundesliga,Union Berlin,34.0,2.53,88%,74%,50%,18%,12%,6%,47%,24%,41%,12%,29%
Germany - Bundesliga,Sankt Pauli,34.0,2.03,91%,68%,29%,12%,3%,0%,32%,26%,50%,18%,41%
Germany - 2. Bundesliga,Hamburger SV,34.0,3.62,97%,91%,76%,56%,26%,12%,68%,26%,9%,24%,6%
Germany - 2. Bundesliga,FC Nurnberg,34.0,3.44,94%,85%,71%,44%,24%,9%,65%,24%,18%,18%,12%
Germany - 2. Bundesliga,Magdeburg,34.0,3.41,91%,85%,71%,47%,21%,15%,65%,24%,21%,15%,12%
Germany - 2. Bundesliga,Schalke 04,34.0,3.35,94%,85%,65%,41%,21%,18%,65%,12%,29%,6%,24%
Germany - 2. Bundesliga,Karlsruher SC,34.0,3.29,94%,82%,71%,47%,21%,9%,71%,24%,12%,18%,6%
Germany - 2. Bundesliga,Darmstadt,34.0,3.26,97%,85%,65%,41%,18%,15%,68%,12%,24%,9%,21%
Germany - 2. Bundesliga,Kaiserslautern,34.0,3.26,91%,79%,71%,41%,18%,15%,59%,24%,26%,15%,18%
Germany - 2. Bundesliga,Dusseldorf,34.0,3.21,97%,85%,59%,38%,24%,12%,65%,26%,12%,24%,9%
Germany - 2. Bundesliga,Greuther Furth,34.0,3.09,97%,79%,59%,35%,21%,15%,59%,12%,32%,9%,29%
Germany - 2. Bundesliga,Braunschweig,34.0,3.0,91%,85%,53%,38%,24%,9%,59%,24%,26%,15%,18%
Germany - 2. Bundesliga,Paderborn,34.0,3.0,91%,88%,62%,26%,18%,9%,68%,26%,15%,18%,6%
Germany - 2. Bundesliga,Elversberg,34.0,2.97,88%,76%,59%,44%,18%,9%,53%,38%,21%,26%,9%
Germany - 2. Bundesliga,Hertha Berlin,34.0,2.94,94%,82%,56%,38%,15%,6%,65%,18%,24%,12%,18%
Germany - 2. Bundesliga,Regensburg,34.0,2.76,91%,74%,47%,24%,15%,12%,32%,21%,56%,12%,47%
Germany - 2. Bundesliga,FC Koln,34.0,2.68,100%,65%,53%,29%,9%,6%,53%,32%,15%,32%,15%
Germany - 2. Bundesliga,Ulm,34.0,2.47,82%,68%,47%,26%,15%,6%,59%,24%,35%,6%,18%
Germany - 2. Bundesliga,Preuss. Munster,34.0,2.44,91%,71%,44%,24%,12%,3%,56%,26%,26%,18%,18%
Germany - 2. Bundesliga,Hannover 96,34.0,2.26,88%,68%,44%,24%,3%,0%,56%,32%,24%,21%,12%
Germany - 3. Liga,FC Ingolstadt,38.0,3.55,97%,84%,63%,45%,32%,18%,71%,11%,21%,8%,18%
Germany - 3. Liga,Hannover 96 B,38.0,3.18,92%,82%,68%,45%,21%,11%,71%,16%,21%,8%,13%
Germany - 3. Liga,Wehen Wiesbaden,38.0,3.13,92%,79%,63%,45%,21%,11%,63%,26%,18%,18%,11%
Germany - 3. Liga,1860 Munchen,38.0,3.11,97%,82%,68%,39%,13%,8%,61%,24%,18%,21%,16%
Germany - 3. Liga,Energie Cottbus,38.0,3.11,95%,76%,58%,39%,24%,16%,61%,32%,13%,26%,8%
Germany - 3. Liga,Sandhausen,38.0,3.11,97%,76%,55%,37%,18%,11%,58%,13%,32%,11%,29%
Germany - 3. Liga,Erzgebirge Aue,38.0,3.08,97%,82%,61%,29%,16%,11%,66%,18%,18%,16%,16%
Germany - 3. Liga,Verl,38.0,3.08,100%,87%,63%,34%,11%,8%,66%,18%,16%,18%,16%
Germany - 3. Liga,Dortmund B,38.0,2.97,92%,71%,58%,37%,16%,13%,53%,21%,34%,13%,26%
Germany - 3. Liga,Unterhaching,38.0,2.95,95%,92%,58%,32%,13%,5%,63%,13%,29%,8%,24%
Germany - 3. Liga,Dynamo Dresden,38.0,2.92,95%,82%,58%,24%,21%,11%,58%,29%,18%,24%,13%
Germany - 3. Liga,RW Essen,38.0,2.87,97%,82%,58%,34%,8%,8%,53%,18%,32%,16%,29%
Germany - 3. Liga,VfB Stuttgart B,38.0,2.84,97%,89%,58%,29%,11%,0%,63%,16%,24%,13%,21%
Germany - 3. Liga,Viktoria Koln,38.0,2.82,100%,84%,50%,24%,8%,5%,55%,26%,18%,26%,18%
Germany - 3. Liga,Saarbrucken,38.0,2.79,92%,76%,45%,32%,21%,8%,61%,29%,18%,21%,11%
Germany - 3. Liga,Osnabruck,38.0,2.66,97%,71%,39%,26%,18%,11%,53%,21%,29%,18%,26%
Germany - 3. Liga,Bielefeld,38.0,2.63,92%,74%,55%,26%,11%,5%,50%,37%,21%,29%,13%
Germany - 3. Liga,Hansa Rostock,38.0,2.63,97%,79%,53%,24%,11%,0%,47%,37%,18%,34%,16%
Germany - 3. Liga,Alemannia A.,38.0,2.32,87%,76%,50%,13%,3%,3%,63%,26%,24%,13%,11%
Germany - 3. Liga,Mannheim,38.0,2.32,89%,66%,45%,18%,11%,3%,50%,26%,34%,16%,24%
Greece - Super League,PAOK,32.0,3.09,94%,81%,69%,31%,25%,6%,62%,34%,9%,28%,3%
Greece - Super League,OFI Crete,26.0,2.88,92%,81%,62%,35%,19%,0%,54%,19%,35%,12%,27%
Greece - Super League,Panserraikos,36.0,2.81,97%,75%,61%,31%,17%,0%,56%,14%,33%,11%,31%
Greece - Super League,Levadiakos,36.0,2.58,89%,69%,53%,28%,17%,3%,56%,25%,31%,14%,19%
Greece - Super League,Olympiakos,32.0,2.5,94%,72%,47%,19%,12%,6%,47%,50%,9%,44%,3%
Greece - Super League,Atromitos,26.0,2.46,96%,77%,54%,8%,8%,4%,58%,23%,23%,19%,19%
Greece - Super League,A. Kallithea,36.0,2.44,89%,78%,47%,22%,6%,3%,53%,25%,33%,14%,22%
Greece - Super League,Volos,36.0,2.44,94%,69%,47%,19%,11%,3%,42%,25%,39%,19%,33%
Greece - Super League,AEK Athens,32.0,2.38,94%,66%,44%,19%,12%,3%,34%,44%,28%,38%,22%
Greece - Super League,Lamia,36.0,2.36,89%,67%,44%,19%,8%,6%,36%,17%,58%,6%,47%
Greece - Super League,Panathinaikos,32.0,2.31,94%,62%,41%,25%,6%,3%,53%,34%,19%,28%,12%
Greece - Super League,Aris,26.0,2.27,92%,73%,38%,15%,8%,0%,50%,38%,19%,31%,12%
Greece - Super League,Asteras T.,26.0,2.15,96%,69%,46%,4%,0%,0%,50%,31%,23%,27%,19%
Greece - Super League,Panaitolikos,36.0,1.67,86%,53%,25%,3%,0%,0%,31%,39%,44%,25%,31%
Guatemala - Liga Nacional - Apertura,Antigua GFC,16.0,3.19,100%,88%,62%,38%,19%,12%,62%,19%,19%,19%,19%
Guatemala - Liga Nacional - Apertura,Xinabajul,16.0,3.13,94%,88%,56%,31%,19%,19%,50%,38%,19%,31%,12%
Guatemala - Liga Nacional - Apertura,Comunicaciones,16.0,2.94,94%,88%,69%,25%,12%,6%,62%,25%,19%,19%,12%
Guatemala - Liga Nacional - Apertura,Coban Imperial,16.0,2.56,81%,62%,50%,31%,19%,12%,31%,50%,38%,31%,19%
Guatemala - Liga Nacional - Apertura,Municipal,16.0,2.5,75%,75%,56%,19%,12%,6%,38%,50%,38%,25%,12%
Guatemala - Liga Nacional - Apertura,Marquense,16.0,2.31,75%,69%,50%,25%,6%,6%,38%,31%,56%,6%,31%
Guatemala - Liga Nacional - Apertura,Xelaju,16.0,2.19,75%,62%,38%,31%,12%,0%,38%,50%,38%,25%,12%
Guatemala - Liga Nacional - Apertura,Guastatoya,16.0,2.13,88%,75%,31%,6%,6%,6%,56%,19%,38%,6%,25%
Guatemala - Liga Nacional - Apertura,Mixco,16.0,2.13,88%,56%,38%,12%,12%,6%,31%,44%,38%,31%,25%
Guatemala - Liga Nacional - Apertura,Zacapa Tellioz,16.0,2.06,75%,62%,38%,25%,6%,0%,25%,25%,75%,0%,50%
Guatemala - Liga Nacional - Apertura,Achuapa,16.0,2.0,88%,69%,31%,12%,0%,0%,38%,38%,38%,25%,25%
Guatemala - Liga Nacional - Apertura,Malacateco,16.0,2.0,81%,56%,31%,31%,0%,0%,19%,62%,38%,44%,19%
Guatemala - Liga Nacional - Clausura,Xinabajul,20.0,2.9,95%,85%,55%,20%,10%,10%,60%,15%,30%,10%,25%
Guatemala - Liga Nacional - Clausura,Malacateco,20.0,2.8,95%,75%,50%,25%,20%,10%,65%,20%,20%,15%,15%
Guatemala - Liga Nacional - Clausura,Antigua GFC,20.0,2.7,90%,75%,50%,25%,20%,10%,55%,35%,20%,25%,10%
Guatemala - Liga Nacional - Clausura,Xelaju,20.0,2.65,90%,65%,45%,25%,15%,10%,50%,20%,40%,10%,30%
Guatemala - Liga Nacional - Clausura,Coban Imperial,20.0,2.55,90%,75%,50%,25%,15%,0%,40%,40%,30%,30%,20%
Guatemala - Liga Nacional - Clausura,Comunicaciones,20.0,2.55,90%,70%,55%,25%,15%,0%,70%,25%,15%,15%,5%
Guatemala - Liga Nacional - Clausura,Mixco,20.0,2.2,90%,70%,40%,15%,5%,0%,65%,20%,25%,10%,15%
Guatemala - Liga Nacional - Clausura,Municipal,20.0,2.2,90%,70%,45%,5%,5%,5%,60%,35%,15%,25%,5%
Guatemala - Liga Nacional - Clausura,Guastatoya,20.0,2.15,90%,55%,35%,20%,5%,5%,35%,40%,35%,30%,25%
Guatemala - Liga Nacional - Clausura,Achuapa,20.0,2.05,90%,70%,35%,5%,5%,0%,40%,30%,40%,20%,30%
Guatemala - Liga Nacional - Clausura,Marquense,20.0,1.85,80%,60%,30%,10%,5%,0%,30%,40%,50%,20%,30%
Hong Kong - Premier League,North District,24.0,4.25,100%,96%,88%,62%,42%,21%,75%,0%,25%,0%,25%
Hong Kong - Premier League,Kowloon City,24.0,4.21,96%,92%,75%,67%,46%,25%,71%,17%,17%,12%,12%
Hong Kong - Premier League,Tai Po,24.0,3.88,100%,88%,75%,50%,29%,21%,71%,25%,4%,25%,4%
Hong Kong - Premier League,HK Rangers,24.0,3.79,100%,88%,75%,54%,25%,17%,58%,12%,29%,12%,29%
Hong Kong - Premier League,LM Warriors,24.0,3.63,100%,88%,79%,38%,21%,12%,67%,25%,8%,25%,8%
Hong Kong - Premier League,Hong Kong FC,24.0,3.33,96%,88%,67%,54%,8%,8%,50%,17%,38%,12%,33%
Hong Kong - Premier League,Kitchee,24.0,3.33,100%,83%,62%,46%,21%,8%,58%,25%,17%,25%,17%
Hong Kong - Premier League,Eastern,24.0,3.29,100%,96%,58%,38%,17%,17%,67%,29%,4%,29%,4%
Hong Kong - Premier League,Southern D.,24.0,2.88,100%,83%,46%,33%,17%,4%,67%,12%,21%,12%,21%
Hungary - NB I,Paks,33.0,3.39,94%,91%,64%,45%,21%,15%,70%,27%,9%,21%,3%
Hungary - NB I,Debrecen,33.0,3.36,91%,79%,70%,45%,24%,12%,61%,18%,30%,9%,21%
Hungary - NB I,MTK Budapest,33.0,3.03,94%,82%,61%,39%,21%,6%,61%,21%,24%,15%,18%
Hungary - NB I,Puskas A.,33.0,2.91,100%,82%,58%,24%,12%,12%,58%,30%,12%,30%,12%
Hungary - NB I,Ferencvaros,33.0,2.88,94%,73%,48%,36%,15%,9%,45%,48%,12%,42%,6%
Hungary - NB I,DVTK,33.0,2.85,88%,76%,48%,30%,18%,15%,61%,24%,27%,12%,15%
Hungary - NB I,Fehervar,33.0,2.61,94%,70%,45%,30%,12%,6%,42%,21%,42%,15%,36%
Hungary - NB I,Gyor,33.0,2.61,88%,79%,55%,21%,9%,6%,58%,36%,18%,24%,6%
Hungary - NB I,Kecskemeti TE,33.0,2.55,85%,67%,52%,33%,9%,6%,55%,21%,39%,6%,24%
Hungary - NB I,Nyiregyhaza,33.0,2.52,88%,70%,45%,24%,12%,9%,39%,27%,45%,15%,33%
Hungary - NB I,Ujpest,33.0,2.48,79%,70%,48%,27%,15%,6%,58%,33%,30%,12%,9%
Hungary - NB I,Zalaegerszegi,33.0,2.33,85%,73%,42%,18%,6%,6%,61%,18%,36%,3%,21%
Iceland - Urvalsdeild,KR Reykjavik,14.0,5.07,100%,100%,100%,86%,71%,36%,93%,7%,0%,7%,0%
Iceland - Urvalsdeild,Valur,14.0,4.0,100%,100%,71%,43%,36%,29%,71%,21%,7%,21%,7%
Iceland - Urvalsdeild,Stjarnan,14.0,3.57,100%,100%,79%,43%,29%,7%,79%,14%,7%,14%,7%
Iceland - Urvalsdeild,IA Akranes,14.0,3.36,100%,86%,71%,36%,29%,7%,43%,21%,36%,21%,36%
Iceland - Urvalsdeild,Breidablik,14.0,3.29,100%,86%,57%,43%,29%,14%,64%,29%,7%,29%,7%
Iceland - Urvalsdeild,Fram,14.0,2.86,100%,79%,50%,29%,21%,7%,50%,36%,14%,36%,14%
Iceland - Urvalsdeild,Hafnarfjordur,14.0,2.86,93%,86%,57%,36%,14%,0%,57%,29%,21%,21%,14%
Iceland - Urvalsdeild,KA Akureyri,14.0,2.86,93%,71%,57%,36%,14%,7%,50%,14%,43%,7%,36%
Iceland - Urvalsdeild,Vikingur R.,14.0,2.86,93%,79%,57%,43%,14%,0%,57%,36%,14%,29%,7%
Iceland - Urvalsdeild,Afturelding,14.0,2.57,86%,71%,50%,21%,14%,7%,36%,29%,50%,14%,36%
Iceland - Urvalsdeild,IBV,14.0,2.43,79%,79%,50%,21%,14%,0%,36%,29%,57%,7%,36%
Iceland - Urvalsdeild,Vestri,14.0,1.86,100%,64%,14%,7%,0%,0%,21%,36%,43%,36%,43%
Iceland - 1. Deild,Grindavik,10.0,5.4,100%,100%,90%,70%,70%,70%,100%,0%,0%,0%,0%
Iceland - 1. Deild,Thor Akureyri,12.0,4.08,100%,100%,75%,67%,42%,17%,83%,17%,0%,17%,0%
Iceland - 1. Deild,Volsungur,12.0,3.92,100%,92%,83%,67%,33%,17%,92%,0%,8%,0%,8%
Iceland - 1. Deild,Njardvik,11.0,3.64,100%,100%,64%,64%,18%,18%,91%,9%,0%,9%,0%
Iceland - 1. Deild,Throttur R.,11.0,3.45,100%,91%,73%,45%,27%,9%,82%,18%,0%,18%,0%
Iceland - 1. Deild,Leiknir R.,11.0,3.36,100%,73%,55%,45%,27%,18%,64%,0%,36%,0%,36%
Iceland - 1. Deild,Keflavik,10.0,3.3,90%,80%,60%,50%,30%,20%,60%,20%,30%,10%,20%
Iceland - 1. Deild,Fjolnir,11.0,3.27,100%,91%,64%,36%,27%,9%,55%,9%,36%,9%,36%
Iceland - 1. Deild,HK Kopavogur,11.0,3.09,100%,91%,73%,36%,9%,0%,73%,27%,0%,27%,0%
Iceland - 1. Deild,Selfoss,11.0,3.09,100%,100%,55%,36%,18%,0%,45%,9%,45%,9%,45%
Iceland - 1. Deild,Fylkir,11.0,2.91,100%,100%,55%,18%,18%,0%,91%,9%,0%,9%,0%
Iceland - 1. Deild,IR Reykjavik,11.0,2.36,91%,73%,36%,9%,9%,9%,55%,45%,9%,36%,0%
Ireland - Premier Division,Waterford,23.0,2.96,100%,74%,65%,30%,9%,4%,57%,9%,35%,9%,35%
Ireland - Premier Division,Sligo Rovers,23.0,2.91,100%,74%,57%,30%,17%,9%,57%,13%,30%,13%,30%
Ireland - Premier Division,Cork City,23.0,2.83,96%,91%,52%,26%,17%,0%,83%,4%,17%,0%,13%
Ireland - Premier Division,Shamrock Rovers,25.0,2.68,92%,76%,56%,32%,12%,0%,56%,36%,16%,28%,8%
Ireland - Premier Division,Derry City,23.0,2.57,96%,70%,48%,17%,9%,4%,52%,39%,13%,35%,9%
Ireland - Premier Division,Galway Utd,23.0,2.35,96%,74%,43%,17%,4%,0%,65%,13%,26%,9%,22%
Ireland - Premier Division,Shelbourne,25.0,2.28,92%,64%,40%,28%,4%,0%,60%,20%,28%,12%,20%
Ireland - Premier Division,Drogheda Utd,25.0,2.16,84%,64%,44%,20%,4%,0%,48%,44%,24%,28%,8%
Ireland - Premier Division,St. Patricks,25.0,2.16,76%,56%,44%,24%,8%,4%,36%,44%,44%,20%,20%
Ireland - Premier Division,Bohemians,23.0,2.13,96%,57%,39%,9%,9%,4%,35%,39%,30%,35%,26%
Ireland - First Division,Bray Wanderers,22.0,3.0,100%,77%,68%,41%,9%,5%,55%,36%,9%,36%,9%
Ireland - First Division,Kerry,21.0,2.76,95%,67%,48%,29%,19%,14%,38%,24%,43%,19%,38%
Ireland - First Division,Cobh Ramblers,22.0,2.64,95%,77%,55%,23%,14%,0%,55%,36%,14%,32%,9%
Ireland - First Division,Longford Town,22.0,2.59,91%,77%,41%,27%,18%,5%,50%,18%,41%,9%,32%
Ireland - First Division,Treaty Utd,22.0,2.55,91%,73%,45%,27%,14%,5%,45%,32%,32%,23%,23%
Ireland - First Division,Wexford,22.0,2.55,95%,73%,45%,23%,9%,5%,50%,23%,32%,18%,27%
Ireland - First Division,Athlone Town,22.0,2.41,91%,68%,41%,27%,14%,0%,41%,18%,50%,9%,41%
Ireland - First Division,Finn Harps,21.0,2.33,86%,67%,38%,29%,10%,5%,52%,33%,29%,19%,14%
Ireland - First Division,Dundalk,22.0,2.27,95%,64%,41%,23%,5%,0%,45%,50%,9%,45%,5%
Ireland - First Division,UC Dublin,22.0,1.95,95%,64%,27%,9%,0%,0%,36%,27%,41%,23%,36%
Indonesia - Liga 1,Arema,34.0,3.06,94%,79%,59%,41%,18%,9%,65%,18%,24%,12%,18%
Indonesia - Liga 1,Barito Putera,34.0,2.91,91%,85%,65%,26%,18%,6%,71%,15%,24%,6%,15%
Indonesia - Liga 1,Dewa Utd,34.0,2.88,88%,76%,53%,35%,18%,9%,53%,41%,18%,29%,6%
Indonesia - Liga 1,Semen Padang,34.0,2.88,94%,79%,44%,29%,21%,12%,62%,21%,24%,15%,18%
Indonesia - Liga 1,Madura Utd,34.0,2.76,94%,71%,53%,32%,18%,9%,47%,24%,35%,18%,29%
Indonesia - Liga 1,Persib,34.0,2.74,94%,79%,50%,35%,15%,0%,62%,32%,12%,26%,6%
Indonesia - Liga 1,PSS Sleman,34.0,2.74,94%,74%,62%,24%,9%,6%,56%,18%,32%,12%,26%
Indonesia - Liga 1,Bali Utd,34.0,2.68,91%,79%,50%,32%,12%,3%,53%,26%,29%,18%,21%
Indonesia - Liga 1,PSBS Biak N.,34.0,2.68,97%,79%,50%,32%,9%,0%,59%,24%,21%,21%,18%
Indonesia - Liga 1,Borneo,34.0,2.59,94%,68%,47%,29%,15%,3%,50%,32%,24%,26%,18%
Indonesia - Liga 1,PSIS Semarang,34.0,2.53,88%,68%,53%,24%,12%,6%,56%,24%,32%,12%,21%
Indonesia - Liga 1,Persija,34.0,2.5,91%,74%,47%,26%,9%,3%,50%,35%,24%,26%,15%
Indonesia - Liga 1,Persik Kediri,34.0,2.41,88%,65%,44%,29%,12%,3%,50%,32%,29%,21%,18%
Indonesia - Liga 1,Malut United,34.0,2.38,88%,71%,44%,24%,9%,3%,59%,29%,24%,18%,12%
